"Year","c","MWh","unit","kwh_veh_total"
"2021","Netherlands",4435.2377,67505,65.7023583438264
"2021","New Zealand",419.5408,6839,61.3453428863869
"2021","Nigeria",13.735,205,67
"2021","Norway",8228.1695,119319,68.9594238972838
"2021","Pakistan",1.7913,28,63.975
"2021","Peru",1.8902,37,51.0864864864865
"2021","Philippines",13.1386,219,59.9936073059361
"2021","Poland",448.3095,7263,61.7251135894259
"2021","Portugal",797.7491,13797,57.8204754656809
"2021","Rest of EU",651.2582,11024,59.0763969521045
"2021","Rest of Middle East/Africa",140.9839,2120,66.5018396226415
"2021","Rest of South America",175.3171,2856,61.3855392156863
"2021","Rest of South Asia/Oceania",40.896,706,57.9263456090652
"2021","Romania",267.8014,6375,42.008062745098
"2021","Russia",105.3182,1256,83.8520700636943
"2021","Saudi Arabia",18.5266,241,76.8738589211618
"2021","Singapore",159.925,2546,62.8142183817753
"2021","Slovakia",73.5772,1166,63.1022298456261
"2021","South Africa",13.7309,210,65.3852380952381
"2021","South Korea",6614.8792,96395,68.6226381036361
"2021","Spain",1468.8679,27086,54.2297829136823
"2021","Sweden",3922.3979,60080,65.28625
"2021","Switzerland",2121.9418,32968,64.3636799320553
"2021","Thailand",102.168,1990,51.3407035175879
"2021","Turkey",204.7575,2968,68.9883760107817
"2021","United Arab Emirates",212.536,2830,75.1010600706714
"2021","United Kingdom",12403.5096,204193,60.7440490124539
"2021","United States",36673.3071,483744,75.8113942498512
"2021","Uruguay",38.1121,683,55.8010248901903
"2021","Vietnam",3.7825,85,44.5
"2021","Western Europe non EU",295.3774,4363,67.7005271602109
"2022","Algeria",0.0533,1,53.3
"2022","Argentina",3.0366,55,55.2109090909091
"2022","Australia",2314.3416,33465,69.1570775437024
"2022","Austria",2499.0976,35813,69.7818557507051
"2022","Belgium",2896.7686,40025,72.3739812617114
"2022","Bolivia",3.3032,53,62.3245283018868
"2022","Brazil",533.4461,9160,58.2364737991266
"2022","Canada",7251.116,98574,73.5601274169659
"2022","Chile",76.2175,1214,62.7821252059308
"2022","China",253138.4436,4699814,53.8613748544091
"2022","Colombia",128.33118,2081,61.6680345987506
"2022","Czechia",288.3838,4066,70.9256763403837
"2022","Denmark",2371.3294,32652,72.6243231655029
"2022","Eastern Europe/Central Asia",79.8985,1330,60.0740601503759
"2022","Egypt",2.6102,38,68.6894736842105
"2022","Ethiopia",14.695,290,50.6724137931035
"2022","Finland",1101.3519,15212,72.4002037864844
"2022","France",11637.9842,229037,50.8126817937713
"2022","Germany",29699.29695,482075,61.6072124669398
"2022","Greece",210.7314,3150,66.8988571428572
"2022","Hungary",328.5254,5237,62.7316020622494
"2022","India",1638.8812,49609,33.0359652482412
"2022","Indonesia",395.4881,10571,37.4125532116167
"2022","Ireland",1125.5076,16386,68.6871475649945
"2022","Israel",1838.0076,27239,67.4770586291714
"2022","Italy",2872.6697,59142,48.5724138514085
"2022","Japan",2797.2698,56432,49.568858094698
"2022","Kenya",3.8049,61,62.3754098360656
"2022","Malaysia",111.9728,1393,80.3824838478105
"2022","Mexico",513.3186,7595,67.5863857801185
"2022","Morocco",18.8145,901,20.8817980022198
"2022","Netherlands",5190.2068,77828,66.6881687824433
"2022","New Zealand",1111.7477,16099,69.0569414249332
"2022","Nigeria",42.888,642,66.803738317757
"2022","Norway",10905.3467,145127,75.143472269116
"2022","Pakistan",0.8644,13,66.4923076923077
"2022","Peru",9.6325,159,60.5817610062893
"2022","Philippines",16.5405,267,61.9494382022472
"2022","Poland",856.5992,12746,67.205335007061
"2022","Portugal",1217.6733,19339,62.964646569109
"2022","Rest of EU",1030.0728,16604,62.0376294868706
"2022","Rest of Middle East/Africa",214.7121,2988,71.8581325301205
"2022","Rest of South America",385.6911,5779,66.7401107458038
"2022","Rest of South Asia/Oceania",102.8735,1680,61.2342261904762
"2022","Romania",491.5273,11741,41.8641768162848
"2022","Russia",51.1978,762,67.1887139107612
"2022","Saudi Arabia",35.0052,388,90.219587628866
"2022","Singapore",232.7844,3378,68.9119005328597
"2022","Slovakia",108.6577,1609,67.5311995027968
"2022","South Africa",33.1093,440,75.2484090909091
"2022","South Korea",11325.4588,159243,71.1206068712597
"2022","Spain",2104.9513,35264,59.6912233439202
"2022","Sweden",6863.4137,99555,68.9409241122997
"2022","Switzerland",2928.9635,42413,69.0581543394714
"2022","Thailand",530.1652,9974,53.1547222779226
"2022","Turkey",551.2493,7196,76.6049610894942
"2022","United Arab Emirates",516.5311,6385,80.8975880971026
"2022","United Kingdom",19110.2334,283986,67.29287147958
"2022","United States",65087.9543,790985,82.2872169510168
"2022","Uruguay",83.5811,1393,60.0007896625987
"2022","Vietnam",466.4925,7279,64.0874433301278
"2022","Western Europe non EU",502.5545,7101,70.7723560061963
"2023","Argentina",23.3966,587,39.8579216354344
"2023","Australia",6108.021,87414,69.874631065962
"2023","Austria",3608.1563,50877,70.9192031762879
