"c","Year","capacity_scenario","kwh_veh"
"Canada",2018,"High Capacity",57.5779321349791
"Chile",2018,"Baseline",26.2015384615385
"Chile",2018,"Low Capacity",26.2015384615385
"Chile",2018,"High Capacity",26.2015384615385
"China",2018,"Baseline",40.3052391799544
"China",2018,"Low Capacity",40.3052391799544
"China",2018,"High Capacity",40.3052391799544
"Colombia",2018,"Baseline",27.4974293059126
"Colombia",2018,"Low Capacity",27.4974293059126
"Colombia",2018,"High Capacity",27.4974293059126
"Czechia",2018,"Baseline",41.3143044619423
"Czechia",2018,"Low Capacity",41.3143044619423
"Czechia",2018,"High Capacity",41.3143044619423
"Denmark",2018,"Baseline",40.2208927464352
"Denmark",2018,"Low Capacity",40.2208927464352
"Denmark",2018,"High Capacity",40.2208927464352
"Eastern Europe/Central Asia",2018,"Baseline",44.8954507857734
"Eastern Europe/Central Asia",2018,"Low Capacity",44.8954507857734
"Eastern Europe/Central Asia",2018,"High Capacity",44.8954507857734
"Egypt",2018,"Baseline",33
"Egypt",2018,"Low Capacity",33
"Egypt",2018,"High Capacity",33
"Finland",2018,"Baseline",48.7599093997735
"Finland",2018,"Low Capacity",48.7599093997735
"Finland",2018,"High Capacity",48.7599093997735
"France",2018,"Baseline",35.1461797164993
"France",2018,"Low Capacity",35.1461797164993
"France",2018,"High Capacity",35.1461797164993
"Germany",2018,"Baseline",35.4986392012907
"Germany",2018,"Low Capacity",35.4986392012907
"Germany",2018,"High Capacity",35.4986392012907
"Greece",2018,"Baseline",36.9911392405063
"Greece",2018,"Low Capacity",36.9911392405063
"Greece",2018,"High Capacity",36.9911392405063
"Hungary",2018,"Baseline",35.8195652173913
"Hungary",2018,"Low Capacity",35.8195652173913
"Hungary",2018,"High Capacity",35.8195652173913
"India",2018,"Baseline",18.5809682804674
"India",2018,"Low Capacity",18.5809682804674
"India",2018,"High Capacity",18.5809682804674
"Indonesia",2018,"Baseline",85.7142857142857
"Indonesia",2018,"Low Capacity",85.7142857142857
"Indonesia",2018,"High Capacity",85.7142857142857
"Iran",2018,"Baseline",37.0988636363636
"Iran",2018,"Low Capacity",37.0988636363636
"Iran",2018,"High Capacity",37.0988636363636
"Ireland",2018,"Baseline",41.9410660660661
"Ireland",2018,"Low Capacity",41.9410660660661
"Ireland",2018,"High Capacity",41.9410660660661
"Israel",2018,"Baseline",36.7769230769231
"Israel",2018,"Low Capacity",36.7769230769231
"Israel",2018,"High Capacity",36.7769230769231
"Italy",2018,"Baseline",36.6577667408803
"Italy",2018,"Low Capacity",36.6577667408803
"Italy",2018,"High Capacity",36.6577667408803
"Japan",2018,"Baseline",39.9667957334892
"Japan",2018,"Low Capacity",39.9667957334892
"Japan",2018,"High Capacity",39.9667957334892
"Malaysia",2018,"Baseline",85.5645161290323
"Malaysia",2018,"Low Capacity",85.5645161290323
"Malaysia",2018,"High Capacity",85.5645161290323
"Mexico",2018,"Baseline",53.2531353135314
"Mexico",2018,"Low Capacity",53.2531353135314
"Mexico",2018,"High Capacity",53.2531353135314
"Morocco",2018,"Baseline",24.04
"Morocco",2018,"Low Capacity",24.04
"Morocco",2018,"High Capacity",24.04
"Netherlands",2018,"Baseline",62.5501141781179
"Netherlands",2018,"Low Capacity",62.5501141781179
"Netherlands",2018,"High Capacity",62.5501141781179
"New Zealand",2018,"Baseline",54.054702970297
"New Zealand",2018,"Low Capacity",54.054702970297
"New Zealand",2018,"High Capacity",54.054702970297
"Norway",2018,"Baseline",46.967597357948
"Norway",2018,"Low Capacity",46.967597357948
"Norway",2018,"High Capacity",46.967597357948
"Poland",2018,"Baseline",40.5005354752343
"Poland",2018,"Low Capacity",40.5005354752343
"Poland",2018,"High Capacity",40.5005354752343
"Portugal",2018,"Baseline",39.48359375
"Portugal",2018,"Low Capacity",39.48359375
"Portugal",2018,"High Capacity",39.48359375
"Rest of EU",2018,"Baseline",38.775791433892
"Rest of EU",2018,"Low Capacity",38.775791433892
"Rest of EU",2018,"High Capacity",38.775791433892
"Rest of Middle East/Africa",2018,"Baseline",37.0988636363636
"Rest of Middle East/Africa",2018,"Low Capacity",37.0988636363636
"Rest of Middle East/Africa",2018,"High Capacity",37.0988636363636
"Rest of South America",2018,"Baseline",28.8178181818182
"Rest of South America",2018,"Low Capacity",28.8178181818182
"Rest of South America",2018,"High Capacity",28.8178181818182
"Rest of South Asia/Oceania",2018,"Baseline",87.6851851851852
"Rest of South Asia/Oceania",2018,"Low Capacity",87.6851851851852
"Rest of South Asia/Oceania",2018,"High Capacity",87.6851851851852
"Romania",2018,"Baseline",33.1831439393939
"Romania",2018,"Low Capacity",33.1831439393939
"Romania",2018,"High Capacity",33.1831439393939
"Russia",2018,"Baseline",57.8523178807947
"Russia",2018,"Low Capacity",57.8523178807947
"Russia",2018,"High Capacity",57.8523178807947
"Singapore",2018,"Baseline",41.5792563600783
"Singapore",2018,"Low Capacity",41.5792563600783
"Singapore",2018,"High Capacity",41.5792563600783
"Slovakia",2018,"Baseline",33.5732919254658
"Slovakia",2018,"Low Capacity",33.5732919254658
"Slovakia",2018,"High Capacity",33.5732919254658
"South Africa",2018,"Baseline",36.4545454545455
"South Africa",2018,"Low Capacity",36.4545454545455
"South Africa",2018,"High Capacity",36.4545454545455
"South Korea",2018,"Baseline",48.0174604164069
"South Korea",2018,"Low Capacity",48.0174604164069
"South Korea",2018,"High Capacity",48.0174604164069
"Spain",2018,"Baseline",34.8936859847012
"Spain",2018,"Low Capacity",34.8936859847012
"Spain",2018,"High Capacity",34.8936859847012
"Sweden",2018,"Baseline",44.4866789667897
"Sweden",2018,"Low Capacity",44.4866789667897
"Sweden",2018,"High Capacity",44.4866789667897
"Switzerland",2018,"Baseline",48.8571704745167
"Switzerland",2018,"Low Capacity",48.8571704745167
"Switzerland",2018,"High Capacity",48.8571704745167
"Thailand",2018,"Baseline",54.9428571428572
"Thailand",2018,"Low Capacity",54.9428571428572
"Thailand",2018,"High Capacity",54.9428571428572
"Turkey",2018,"Baseline",56.1802083333333
"Turkey",2018,"Low Capacity",56.1802083333333
"Turkey",2018,"High Capacity",56.1802083333333
"United Arab Emirates",2018,"Baseline",79.7800925925926
"United Arab Emirates",2018,"Low Capacity",79.7800925925926
"United Arab Emirates",2018,"High Capacity",79.7800925925926
"United Kingdom",2018,"Baseline",47.2409691870629
"United Kingdom",2018,"Low Capacity",47.2409691870629
"United Kingdom",2018,"High Capacity",47.2409691870629
"United States",2018,"Baseline",72.247564581421
"United States",2018,"Low Capacity",72.247564581421
"United States",2018,"High Capacity",72.247564581421
